SPA,1SPATIAL PLC
THMZ,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
TIGG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
TIGR,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
UKG5,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
USDC,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
USDG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
USPY,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LINV,LENDINVEST PLC
LNTA,LENTA INTERNATIONAL PUBLIC JOINT-STOCK COMPANY
LNTR,LENTA INTERNATIONAL PUBLIC JOINT-STOCK COMPANY
LEX,LEXINGTON GOLD LTD
39IB,LG ELECTRONICS INC
LGLD,LG ELECTRONICS INC
LIB,LIBERTINE HOLDINGS PLC
LIFS,LIFESAFE HOLDINGS PLC
LABS,LIFE SCIENCE REIT PLC
LSAA,LIFE SETTLEMENT ASSETS PLC
LST,LIGHT SCIENCE TECHNOLOGIES HOLDINGS PLC
LIKE,LIKEWISE GROUP PLC
LME,LIMITLESS EARTH PLC
LTI,LINDSELL TRAIN INVESTMENT TRUST PLC
LIO,LIONTRUST ASSET MANAGEMENT PLC
BOOK,LITERACY CAPITAL PLC
LIT,LITIGATION CAPITAL MANAGEMENT LIMITED
LVCG,LIVE COMPANY GROUP PLC
LIV,LIVERMORE INVESTMENTS GROUP LIMITED
LLOY,LLOYDS BANKING GROUP PLC
LMS,LMS CAPITAL PLC
LSAI,LOCATION SCIENCES GROUP PLC
LDG,LOGISTICS DEVELOPMENT GROUP PLC
LOK,LOK'N STORE GROUP PLC
LAS,LONDON & ASSOCIATED PROPERTIES PLC
LFI,LONDON FINANCE & INVESTMENT GROUP PLC
LMP,LONDONMETRIC PROPERTY PLC
LSC,LONDON SECURITY PLC
LSEG,LONDON STOCK EXCHANGE GROUP PLC
LBE,LONGBOAT ENERGY PLC
LOOK,LOOKERS PLC
LOOP,LOOPUP GROUP PLC
LORD,LORDS GROUP TRADING PLC
LGRS,LOUNGERS PLC
LWI,LOWLAND INVESTMENT COMPANY PLC
LPA,LPA GROUP PLC
LSL,LSL PROPERTY SERVICES PLC
LUCE,LUCECO PLC
LKCA,LUCKY CEMENT LIMITED
LKCS,LUCKY CEMENT LIMITED
LLAI,"LUNGLIFE AI, INC"
LXI,LXI REIT PLC
CRAL,LYXOR
CRAU,LYXOR
E127,LYXOR
LEMA,LYXOR
U127,LYXOR
BUOY,LYXOR INDEX FUND
CATH,LYXOR INDEX FUND
CSH2,LYXOR INDEX FUND
DIGE,LYXOR INDEX FUND
DTEC,LYXOR INDEX FUND
EBUY,LYXOR INDEX FUND
ELCR,LYXOR INDEX FUND
ELLE,LYXOR INDEX FUND
GEND,LYXOR INDEX FUND
GENY,LYXOR INDEX FUND
GHYU,LYXOR INDEX FUND
IQCT,LYXOR INDEX FUND
IQCY,LYXOR INDEX FUND
LEMB,LYXOR INDEX FUND
MEUD,LYXOR INDEX FUND
MEUS,LYXOR INDEX FUND
MFDD,LYXOR INDEX FUND
MILL,LYXOR INDEX FUND
MMS,LYXOR INDEX FUND
MOBI,LYXOR INDEX FUND
MSED,LYXOR INDEX FUND
ROAI,LYXOR INDEX FUND
SMTC,LYXOR INDEX FUND
SWIM,LYXOR INDEX FUND
UHYC,LYXOR INDEX FUND
UHYG,LYXOR INDEX FUND
UNIC,LYXOR INDEX FUND
USHY,LYXOR INDEX FUND
USIC,LYXOR INDEX FUND
USIG,LYXOR INDEX FUND
USIX,LYXOR INDEX FUND
YIEL,LYXOR INDEX FUND
CACX,LYXOR INTERNATIONAL ASSET MANAGEMENT
DJEL,LYXOR INTERNATIONAL ASSET MANAGEMENT
DJEU,LYXOR INTERNATIONAL ASSET MANAGEMENT
MACA,MAC ALPHA LIMITED
MPO,MACAU PROPERTY OPPORTUNITIES FUND LIMITED
MACF,MACFARLANE GROUP PLC
MADE,MADE.COM GROUP PLC
MTEC,MADE TECH GROUP PLC
11KQ,MADINET NASR FOR HOUSING & DEVELOPMENT S.A.E.
MNHD,MADINET NASR FOR HOUSING & DEVELOPMENT S.A.E.
MHID,MAHINDRA & MAHINDRA LIMITED
MAI,MAINTEL HOLDINGS PLC
MAJE,MAJEDIE INVESTMENTS PLC
MLVN,MALVERN INTERNATIONAL PLC
MNL,MANCHESTER & LONDON INVESTMENT TRUST PLC
MDO,MANDARIN ORIENTAL INTERNATIONAL LD
MDOB,MANDARIN ORIENTAL INTERNATIONAL LD
MDOJ,MANDARIN ORIENTAL INTERNATIONAL LD
05IS,MANDO MACHINERY CORPORATION
MNMD,MANDO MACHINERY CORPORATION
EMG,MAN GROUP PLC
MANO,MANOLETE PARTNERS PLC
MFX,MANX FINANCIAL GROUP PLC
MPLF,MARBLE POINT LOAN FINANCING LIMITED
MPLS,MARBLE POINT LOAN FINANCING LIMITED
MAC,MARECHALE CAPITAL PLC
GOLB,MARKET ACCESS
M9SV,MARKET ACCESS
RICI,MARKET ACCESS
MKS,MARKS AND SPENCER GROUP PLC
MRK,MARKS ELECTRICAL GROUP PLC
MRL,MARLOWE PLC
MSLH,MARSHALLS PLC
MHM,MARSH & MCLENNAN COS. INC
92IP,MARSTON'S PLC
MARS,MARSTON'S PLC
MNP,MARTIN CURRIE GLOBAL PORTFOLIO TRUST PLC
MAW,MARUWA CO. LTD
MAC3,MARWYN ACQUISITION COMPANY III LIMITED
MAC2,MARWYN ACQUISITION COMPANY II LIMITED
MACP,MARWYN ACQUISITION COMPANY PLC
MVI,MARWYN VALUE INVESTORS LIMITED
MVIR,MARWYN VALUE INVESTORS LIMITED
MVR2,MARWYN VALUE INVESTORS LIMITED
MAST,MAST ENERGY DEVELOPMENTS PLC
MTW,MATTIOLI WOODS PLC
MIG3,MAVEN INCOME AND GROWTH VCT 3 PLC
MIG5,MAVEN INCOME AND GROWTH VCT 5 PLC
MAV4,MAVEN INCOME & GROWTH VCT 4 PLC
MIG1,MAVEN INCOME & GROWTH VCT PLC
MXCT,MAXCYTE INC
MCB,MCBRIDE PLC
MCLS,MCCOLL'S RETAIL GROUP PLC
MCM,MC MINING LIMITED
SAA,M&C SAATCHI PLC
14NY,MD MEDICAL GROUP INVESTMENTS PLC
MDMG,MD MEDICAL GROUP INVESTMENTS PLC
MER,MEARS GROUP PLC
MDZ,MEDIAZEST PLC
MGP,MEDICA GROUP PLC
MDC,MEDICLINIC INTERNATIONAL PLC
MEGP,ME GROUP INTERNATIONAL PLC
MIK,MEIKLES LIMITED
MRO,MELROSE INDUSTRIES PLC
MHN,MENHADEN RESOURCE EFFICIENCY PLC
MRC,MERCANTILE INVESTMENT TRUST (THE) PLC
MPL,MERCANTILE PORTS & LOGISTICS LIMITED
72HN,MERCHANTS TRUST PLC
MRCH,MERCHANTS TRUST PLC
MERC,MERCIA ASSET MANAGEMENT PLC
MRIT,MERIT GROUP PLC
MNRG,METALNRG PLC
MTL,METALS EXPLORATION PLC
MTR,METAL TIGER PLC
MTRO,METRO BANK PLC
MXC,MGC PHARMACEUTICALS LIMITED
MGCI,M&G CREDIT INCOME INVESTMENT TRUST PLC
MNG,M&G PLC
71HT,MHP SE
MHPC,MHP SE
MBH,MICHELMERSH BRICK HOLDINGS PLC
MCRO,MICRO FOCUS INTERNATIONAL PLC
SAAS,MICROLISE GROUP PLC
MSYS,MICROSAIC SYSTEMS PLC
MTPH,MIDATECH PHARMA PLC
MCT,MIDDLEFIELD CANADIAN INCOME PCC
MIDW,MIDWICH GROUP PLC
MWY,MID-WYND INTERNATIONAL INVESTMENT TRUST PLC
MIGO,MIGO OPPORTUNITIES TRUST PLC
MILA,MILA RESOURCES PLC
MII,MILTON CAPITAL PLC
MCON,MINCON GROUP PLC
MIND,MIND GYM PLC
MAFL,MINERAL & FINANCIAL INVESTMENTS LIMITED
MYSE,MING YANG SMART ENERGY GROUP LIMITED
MMM,"MINING, MINERALS & METALS PLC"
MIN,MINOAN GROUP PLC
MIRA,MIRADA PLC
MIRI,MIRRIAD ADVERTISING PLC
MAB,MITCHELLS & BUTLERS PLC
MTO,MITIE GROUP PLC
MINI,MITON UK MICROCAP TRUST PLC
MEL,MITSUBISHI ELECTRIC CORPORATION
GLE,MJ GLEESON PLC
MJH,MJ HUDSON GROUP PLC
MKA,MKANGO RESOURCES LTD
MIG,MOBEUS INCOME & GROWTH 2 VCT PLC
MIG4,MOBEUS INCOME & GROWTH 4 VCT PLC
MIX,MOBEUS INCOME & GROWTH VCT PLC
MOS,MOBILE STREAMS PLC
MBT,MOBILE TORNADO GROUP PLC
MBO,MOBILITYONE LIMITED
MMIT,MOBIUS INVESTMENT TRUST PLC
MODE,MODE GLOBAL HOLDINGS PLC
MEN,MOLECULAR ENERGIES PLC
GROW,MOLTEN VENTURES PLC
MVCT,MOLTEN VENTURES VCT PLC
MAVT,MOMENTUM MULTI-ASSET VALUE TRUST PLC
MNDI,MONDI PLC
MONY,MONEYSUPERMARKET.COM GROUP PLC
MNKS,MONKS INVESTMENT TRUST PLC
MTE,MONTANARO EUROPEAN SMALLER C. TST PLC
MTU,MONTANARO UK SMALLER COMPANIES INVESTMENT TRUST PLC
MOON,MOONPIG GROUP PLC
TMOR,MORE ACQUISITIONS PLC
BA05,MORGAN ADVANCED MATERIALS PLC
BA29,MORGAN ADVANCED MATERIALS PLC
MGAM,MORGAN ADVANCED MATERIALS PLC
MGNS,MORGAN SINDALL GROUP PLC
MCL,MORSES CLUB PLC
MAB1,MORTGAGE ADVICE BUREAU (HOLDINGS) PLC
MSMN,MOSMAN OIL AND GAS LIMITED
MTC,MOTHERCARE PLC
MOTR,MOTORPOINT GROUP PLC
MTVW,MOUNTVIEW ESTATES PLC
MPAC,MPAC GROUP PLC
MPE,M.P. EVANS GROUP PLC
MSI,MS INTERNATIONAL PLC
MWE,MTI WIRELESS EDGE LTD.
MUL,MULBERRY GROUP PLC
CNAA,MULTI UNITS FRANCE
CNAL,MULTI UNITS FRANCE
CSHD,MULTI UNITS FRANCE
DSUS,MULTI UNITS FRANCE
INRL,MULTI UNITS FRANCE
INRU,MULTI UNITS FRANCE
JPNL,MULTI UNITS FRANCE
JPNU,MULTI UNITS FRANCE
LEMD,MULTI UNITS FRANCE
LEML,MULTI UNITS FRANCE
MEUG,MULTI UNITS FRANCE
MIBX,MULTI UNITS FRANCE
MSEU,MULTI UNITS FRANCE
MSEX,MULTI UNITS FRANCE
NRJC,MULTI UNITS FRANCE
NRJL,MULTI UNITS FRANCE
NRJU,MULTI UNITS FRANCE
RSGL,MULTI UNITS FRANCE
RUSG,MULTI UNITS FRANCE
USAL,MULTI UNITS FRANCE
USAU,MULTI UNITS FRANCE
WATC,MULTI UNITS FRANCE
WATL,MULTI UNITS FRANCE
WATU,MULTI UNITS FRANCE
WLDD,MULTI UNITS FRANCE
WLDL,MULTI UNITS FRANCE
WLDU,MULTI UNITS FRANCE
100D,MULTI UNITS LUXEMBOURG
100H,MULTI UNITS LUXEMBOURG
ACWL,MULTI UNITS LUXEMBOURG
ACWU,MULTI UNITS LUXEMBOURG
AEJ,MULTI UNITS LUXEMBOURG
AEJL,MULTI UNITS LUXEMBOURG
APEX,MULTI UNITS LUXEMBOURG
ASIC,MULTI UNITS LUXEMBOURG
ASIL,MULTI UNITS LUXEMBOURG
ASIU,MULTI UNITS LUXEMBOURG
BNKE,MULTI UNITS LUXEMBOURG
CECL,MULTI UNITS LUXEMBOURG
CLEM,MULTI UNITS LUXEMBOURG
CLEU,MULTI UNITS LUXEMBOURG
CLIM,MULTI UNITS LUXEMBOURG
CLMU,MULTI UNITS LUXEMBOURG
CLUS,MULTI UNITS LUXEMBOURG
CLWD,MULTI UNITS LUXEMBOURG
COUK,MULTI UNITS LUXEMBOURG
CRBL,MULTI UNITS LUXEMBOURG
CRBU,MULTI UNITS LUXEMBOURG
CRNL,MULTI UNITS LUXEMBOURG
CRNO,MULTI UNITS LUXEMBOURG
CRPX,MULTI UNITS LUXEMBOURG
DAXX,MULTI UNITS LUXEMBOURG
EABE,MULTI UNITS LUXEMBOURG
EABG,MULTI UNITS LUXEMBOURG
EART,MULTI UNITS LUXEMBOURG
EDIV,MULTI UNITS LUXEMBOURG
EMXC,MULTI UNITS LUXEMBOURG
EPAB,MULTI UNITS LUXEMBOURG
ESGL,MULTI UNITS LUXEMBOURG
FEDF,MULTI UNITS LUXEMBOURG
FEDG,MULTI UNITS LUXEMBOURG
FINW,MULTI UNITS LUXEMBOURG
GIL5,MULTI UNITS LUXEMBOURG
GILI,MULTI UNITS LUXEMBOURG
GILS,MULTI UNITS LUXEMBOURG
GISG,MULTI UNITS LUXEMBOURG
GIST,MULTI UNITS LUXEMBOURG
GOUD,MULTI UNITS LUXEMBOURG
GOVD,MULTI UNITS LUXEMBOURG
GPAB,MULTI UNITS LUXEMBOURG
HLTW,MULTI UNITS LUXEMBOURG
INDW,MULTI UNITS LUXEMBOURG
INFB,MULTI UNITS LUXEMBOURG
INFG,MULTI UNITS LUXEMBOURG
INFL,MULTI UNITS LUXEMBOURG
INFU,MULTI UNITS LUXEMBOURG
JAPB,MULTI UNITS LUXEMBOURG
KLMG,MULTI UNITS LUXEMBOURG
KRW,MULTI UNITS LUXEMBOURG
KRWL,MULTI UNITS LUXEMBOURG
L100,MULTI UNITS LUXEMBOURG
LAUU,MULTI UNITS LUXEMBOURG
LCAL,MULTI UNITS LUXEMBOURG
LCAS,MULTI UNITS LUXEMBOURG
LCCN,MULTI UNITS LUXEMBOURG
LCJD,MULTI UNITS LUXEMBOURG
LCJG,MULTI UNITS LUXEMBOURG
LCJP,MULTI UNITS LUXEMBOURG
LCUD,MULTI UNITS LUXEMBOURG
LCUK,MULTI UNITS LUXEMBOURG
LCUS,MULTI UNITS LUXEMBOURG
LCWD,MULTI UNITS LUXEMBOURG
LCWL,MULTI UNITS LUXEMBOURG
LESG,MULTI UNITS LUXEMBOURG
LESU,MULTI UNITS LUXEMBOURG
LESW,MULTI UNITS LUXEMBOURG
LSPU,MULTI UNITS LUXEMBOURG
LSPX,MULTI UNITS LUXEMBOURG
MESG,MULTI UNITS LUXEMBOURG
MFEX,MULTI UNITS LUXEMBOURG
MTIX,MULTI UNITS LUXEMBOURG
MTXX,MULTI UNITS LUXEMBOURG
NASD,MULTI UNITS LUXEMBOURG
NASL,MULTI UNITS LUXEMBOURG
NRGW,MULTI UNITS LUXEMBOURG
PABG,MULTI UNITS LUXEMBOURG
PABL,MULTI UNITS LUXEMBOURG
PABS,MULTI UNITS LUXEMBOURG
PABU,MULTI UNITS LUXEMBOURG
PAXG,MULTI UNITS LUXEMBOURG
PAXJ,MULTI UNITS LUXEMBOURG
PLAN,MULTI UNITS LUXEMBOURG
RIOL,MULTI UNITS LUXEMBOURG
RIOU,MULTI UNITS LUXEMBOURG
RPAB,MULTI UNITS LUXEMBOURG
RUSL,MULTI UNITS LUXEMBOURG
RUSU,MULTI UNITS LUXEMBOURG
SEMG,MULTI UNITS LUXEMBOURG
SEMU,MULTI UNITS LUXEMBOURG
SGQD,MULTI UNITS LUXEMBOURG
SGQL,MULTI UNITS LUXEMBOURG
SGQP,MULTI UNITS LUXEMBOURG
SGQX,MULTI UNITS LUXEMBOURG
SP5C,MULTI UNITS LUXEMBOURG
SP5G,MULTI UNITS LUXEMBOURG
SP5L,MULTI UNITS LUXEMBOURG
STPU,MULTI UNITS LUXEMBOURG
TIPA,MULTI UNITS LUXEMBOURG
TIPG,MULTI UNITS LUXEMBOURG
TIPH,MULTI UNITS LUXEMBOURG
TIPU,MULTI UNITS LUXEMBOURG
TNOW,MULTI UNITS LUXEMBOURG
TURL,MULTI UNITS LUXEMBOURG
TURU,MULTI UNITS LUXEMBOURG
U10C,MULTI UNITS LUXEMBOURG
U10G,MULTI UNITS LUXEMBOURG
U13G,MULTI UNITS LUXEMBOURG
U37G,MULTI UNITS LUXEMBOURG
U37H,MULTI UNITS LUXEMBOURG
U71G,MULTI UNITS LUXEMBOURG
U71H,MULTI UNITS LUXEMBOURG
UESG,MULTI UNITS LUXEMBOURG
UH10,MULTI UNITS LUXEMBOURG
UINU,MULTI UNITS LUXEMBOURG
US10,MULTI UNITS LUXEMBOURG
US13,MULTI UNITS LUXEMBOURG
US37,MULTI UNITS LUXEMBOURG
US71,MULTI UNITS LUXEMBOURG
UTIW,MULTI UNITS LUXEMBOURG
WESG,MULTI UNITS LUXEMBOURG
WGES,MULTI UNITS LUXEMBOURG
XCO2,MULTI UNITS LUXEMBOURG
XCOG,MULTI UNITS LUXEMBOURG
XCOU,MULTI UNITS LUXEMBOURG
MUT,MURRAY INCOME TRUST PLC
MYI,MURRAY INTERNATIONAL TRUST PLC
MMAG,MUSICMAGPIE PLC
MUST,MUSTANG ENERGY PLC
WINK,M WINKWORTH PLC
MIL,MYANMAR INVESTMENTS INTERNATIONAL LIMITED
MYX,MYCELX TECHNOLOGIES CORPORATION
MYXR,MYCELX TECHNOLOGIES CORPORATION
MHC,MYHEALTHCHECKED PLC
MYSL,MYSALE GROUP PLC
N4P,N4 PHARMA PLC
NAH,NAHL GROUP PLC
WINE,NAKED WINES PLC
NANO,NANOCO GROUP PLC
NNN,NANOSYNTH GROUP PLC
NARF,NARF INDUSTRIES PLC
NEX,NATIONAL EXPRESS GROUP PLC
NG.,NATIONAL GRID PLC
NWOR,NATIONAL WORLD PLC
NBS,NATIONWIDE BUILDING SOCIETY
NWG,NATWEST GROUP PLC
NBDD,NB DISTRESSED DEBT INVESTMENT FUND LIMITED
NBDG,NB DISTRESSED DEBT INVESTMENT FUND LIMITED
NBDX,NB DISTRESSED DEBT INVESTMENT FUND LIMITED
NBMI,NB GLOBAL MONTHLY INCOME FUND LIMITED
NBPE,NB PRIVATE EQUITY PARTNERS LIMITED
NBPS,NB PRIVATE EQUITY PARTNERS LIMITED
NBPU,NB PRIVATE EQUITY PARTNERS LIMITED
NCC,NCC GROUP PLC
NCCL,NCONDEZI ENERGY LIMITED
NMT,NEOMETALS LTD
NET,NETCALL PLC
NSCI,NETSCIENTIFIC PLC
NETW,NETWORK INTERNATIONAL HOLDINGS PLC
NZI,NET ZERO INFRASTRUCTURE PLC
NCA2,NEW CENTURY AIM VCT 2 PLC
NCA,NEW CENTURY AIM VCT PLC
NEOA,NEW ENERGY ONE ACQUISITION CORPORATION PLC
NWT,NEWMARK SECURITY PLC
NRR,NEWRIVER REIT PLC
NSI,NEW STAR INVESTMENT TRUST PLC
NESF,NEXTENERGY SOLAR FUND LIMITED
NFC,NEXT FIFTEEN COMMUNICATIONS GROUP PLC
NXT,NEXT PLC
NEXS,NEXUS INFRASTRUCTURE PLC
NICL,NICHOLS PLC
NGHT,NIGHTCAP PLC
N91,NINETY ONE PLC
NIOX,NIOX GROUP PLC
NAVF,NIPPON ACTIVE VALUE FUND PLC
NSF,NON-STANDARD FINANCE PLC
NXR,NORCROS PLC
NBB,NORMAN BROADBENT PLC
NAR,NORTHAMBER PLC
NAIT,NORTH AMERICAN INCOME TRUST (THE) PLC
NAS,NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC
CODE,NORTHCODERS GROUP PLC
NTV,NORTHERN 2 VCT PLC
NTN,NORTHERN 3 VCT PLC
NTBR,NORTHERN BEAR PLC
NTEA,NORTHERN ELECTRIC PLC
NVT,NORTHERN VENTURE TRUST PLC
NTOG,NOSTRA TERRA OIL AND GAS COMPANY PLC
NOG,NOSTRUM OIL & GAS PLC
NCYT,NOVACYT S.A.
55VX,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA"
NLB,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA"
NLMA,NOVOLIPETSK STEEL
NLMK,NOVOLIPETSK STEEL
NFX,NUFORMIX PLC
NUM,NUMIS CORPORATION PLC
NWF,NWF GROUP PLC
OCI,OAKLEY CAPITAL INVESTMENTS LIMITED
OCDO,OCADO GROUP PLC
OCN,OCEAN WILSONS (HOLDINGS) LD
OSEC,OCTOPUS AIM VCT 2 PLC
OOA,OCTOPUS AIM VCT PLC
OAP3,OCTOPUS APOLLO VCT PLC
OFG,OCTOPUS FUTURE GENERATIONS VCT PLC
ORIT,OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC
OTV2,OCTOPUS TITAN VCT PLC
OIT,ODYSSEAN INVESTMENT TRUST PLC
37OC,OIL AND GAS DEVELOPMENT COMPANY LIMITED
OGDC,OIL AND GAS DEVELOPMENT COMPANY LIMITED
61HD,O'KEY GROUP S.A.
OKEY,O'KEY GROUP S.A.
OKYO,OKYO PHARMA LIMITED
OMU,OLD MUTUAL LIMITED
ODX,OMEGA DIAGNOSTICS GROUP PLC
PETB,OMV PETROM S.A.
PETR,OMV PETROM S.A.
ONC,ONCIMMUNE HOLDINGS PLC
OBI,ONDINE BIOMEDICAL INC.
ONDO,ONDO INSURTECH PLC
OHG,ONE HERITAGE GROUP PLC
OMIP,ONE MEDIA IP GROUP PLC
OBC,ONLINE BLOCKCHAIN PLC
OTB,ON THE BEACH GROUP PLC
OTMP,ONTHEMARKET PLC
OPG,OPG POWER VENTURES PLC
OPTI,OPTIBIOTIX HEALTH PLC
ORCP,ORACLE POWER PLC
OIH,ORASCOM INVESTMENT HOLDING S.A.E
ORCA,ORCADIAN ENERGY PLC
ORCH,ORCHARD FUNDING GROUP PLC
ORNT,ORIENT TELECOMS PLC
OGN,ORIGIN ENTERPRISES PLC
ORR,ORIOLE RESOURCES PLC
ORM,ORMONDE MINING PLC
OMI,OROSUR MINING INC
OIG,ORYX INTERNATIONAL GROWTH FUND LTD
OSB,OSB GROUP PLC
OSI,OSIRIUM TECHNOLOGIES PLC
5HED,OSSIAM IRL ICAV
5HEP,OSSIAM IRL ICAV
LOUF,OSSIAM IRL ICAV
LUMV,OSSIAM IRL ICAV
OUFU,OSSIAM IRL ICAV
OWLP,OSSIAM IRL ICAV
OWLU,OSSIAM IRL ICAV
USMV,OSSIAM IRL ICAV
CAPE,OSSIAM LUX
CAPU,OSSIAM LUX
CRWU,OSSIAM LUX
EUMV,OSSIAM LUX
L6EW,OSSIAM LUX
LCPE,OSSIAM LUX
LCRW,OSSIAM LUX
LEMV,OSSIAM LUX
S6EW,OSSIAM LUX
UCAP,OSSIAM LUX
OTPD,OTP BANK PLC
OVB,OVOCA BIO PLC
OBD,OXFORD BIODYNAMICS PLC
OXB,OXFORD BIOMEDICA PLC
OCTP,OXFORD CANNABINOID TECHNOLOGIES HOLDINGS PLC
OXIG,OXFORD INSTRUMENTS PLC
OMG,OXFORD METRICS PLC
ONT,OXFORD NANOPORE TECHNOLOGIES PLC
OT1,OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST PLC
OT3,OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST PLC
OT4,OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST PLC
OXH,OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST PLC
PAC,PACIFIC ASSETS TRUST PLC
PHI,PACIFIC HORIZON INVESTMENT TRUST PLC
PAGE,PAGEGROUP PLC
PCA,PALACE CAPITAL PLC
PAF,PAN AFRICAN RESOURCES PLC
PINT,PANTHEON INFRASTRUCTURE PLC
PIN,PANTHEON INTERNATIONAL PLC
PANR,PANTHEON RESOURCES PLC
PAT,PANTHERA RESOURCES PLC
PALM,PANTHER METALS PLC
PNS,PANTHER SECURITIES PLC
NVTK,PAO NOVATEK
PAG,PARAGON BANKING GROUP PLC
PTY,PARITY GROUP PLC
PMG,PARKMEAD GROUP (THE) PLC
MEAL,PARSLEY BOX GROUP PLC
PFP,PATHFINDER MINERALS PLC
PAY,PAYPOINT PLC
PCF,PCF GROUP PLC
PGHZ,PCGH ZDP PLC
PCIP,PCI-PAL PLC
PSON,PEARSON PLC
PEB,PEBBLE BEACH SYSTEMS GROUP PLC
PEEL,PEEL HUNT LIMITED
PTRO,PELATRO PLC
PERE,PEMBRIDGE RESOURCES PLC
PEMB,PEMBROKE VCT PLC
PDG,PENDRAGON PLC
PEN,PENNANT INTERNATIONAL GROUP PLC
PNN,PENNON GROUP PLC
PPP,PENNPETRO ENERGY PLC
PRE,PENSANA PLC
PBEE,PENSIONBEE GROUP PLC
IL0A,PERMANENT TSB GROUP HOLDINGS PLC
PSH,PERSHING SQUARE HOLDINGS LTD
PSHD,PERSHING SQUARE HOLDINGS LTD
PSN,PERSIMMON PLC
PNL,PERSONAL ASSETS TRUST PLC
PGH,PERSONAL GROUP HOLDINGS PLC
PEG,PETARDS GROUP PLC
PHLL,PETERSHILL PARTNERS PLC
PDL,PETRA DIAMONDS LIMITED
PET,PETREL RESOURCES PLC
PFC,PETROFAC LIMITED
MATD,PETRO MATAD LIMITED
PTR,PETRONEFT RESOURCES PLC
PTAL,PETROTAL CORPORATION
PETS,PETS AT HOME GROUP PLC
PHAR,PHAROS ENERGY PLC
PXC,PHOENIX COPPER LIMITED
PHNX,PHOENIX GROUP HOLDINGS PLC
PSDL,PHOENIX SPREE DEUTSCHLAND LIMITED
PHSC,PHSC PLC
PYC,PHYSIOMICS PLC
PCTN,PICTON PROPERTY INCOME LD
EMLB,PIMCO ETFS PUBLIC LIMITED COMPANY
EMLI,PIMCO ETFS PUBLIC LIMITED COMPANY
EMLP,PIMCO ETFS PUBLIC LIMITED COMPANY
LDCU,PIMCO ETFS PUBLIC LIMITED COMPANY
MINT,PIMCO ETFS PUBLIC LIMITED COMPANY
MIST,PIMCO ETFS PUBLIC LIMITED COMPANY
QUID,PIMCO ETFS PUBLIC LIMITED COMPANY
SSHY,PIMCO ETFS PUBLIC LIMITED COMPANY
STEA,PIMCO ETFS PUBLIC LIMITED COMPANY
STHE,PIMCO ETFS PUBLIC LIMITED COMPANY
STHS,PIMCO ETFS PUBLIC LIMITED COMPANY
STHY,PIMCO ETFS PUBLIC LIMITED COMPANY
STYC,PIMCO ETFS PUBLIC LIMITED COMPANY
PNPL,PINEAPPLE POWER CORPORATION PLC
PIP,PIPEHAWK PLC
PIRI,PIRES INVESTMENTS PLC
PTD,PITTARDS PLC
MNOD,PJSC MMC NORILSK NICKEL
10NC,PJSC PHOSAGRO
PHOR,PJSC PHOSAGRO
ATAD,PJSC TATNEFT
PHC,PLANT HEALTH CARE PLC
PTEC,PLAYTECH PLC
PLAZ,PLAZA CENTERS N.V.
POS,PLEXUS HOLDINGS PLC
PLUS,PLUS500 LTD
PMGZ,PMGR SECURITIES 2025 PLC
PODP,POD POINT GROUP HOLDINGS PLC
PCFT,POLAR CAPITAL GLOBAL FINANCIALS TRUST PLC
PCGH,POLAR CAPITAL GLOBAL HEALTHCARE TRUST PLC
POLR,POLAR CAPITAL HOLDINGS PLC
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC
POLX,POLAREAN IMAGING PLC
POLN,POLLEN STREET PLC
POLY,POLYMETAL INTERNATIONAL PLC
POLB,POOLBEG PHARMA PLC
PMP,PORTMEIRION GROUP PLC
PRV,PORVAIR PLC
POSD,POWERCHIP TECHNOLOGY CORPORATION
POSE,POWERCHIP TECHNOLOGY CORPORATION
PHE,POWERHOUSE ENERGY GROUP PLC
POW,POWER METAL RESOURCES PLC
PPH,PPHE HOTEL GROUP LIMITED
PRD,PREDATOR OIL & GAS HOLDINGS PLC
PREM,PREMIER AFRICAN MINERALS LIMITED
PFD,PREMIER FOODS PLC
PMGR,PREMIER MITON GLOBAL RENEWABLES TRUST PLC
PMI,PREMIER MITON GROUP PLC
PRES,PRESSURE TECHNOLOGIES PLC
PHP,PRIMARY HEALTH PROPERTIES PLC
PRIM,PRIMORUS INVESTMENTS PLC
PEY,PRINCESS PRIVATE EQUITY HOLDING LIMITED
