154A,GAIA 
31050,Nisshinbo Holdings Inc. 
28970,"NISSIN FOODS HOLDINGS CO.,LTD. "
19290,"NITTOC CONSTRUCTION CO.,LTD. "
40210,Nissan Chemical Corporation 
82910,"NISSAN TOKYO SALES HOLDINGS CO., LTD. "
72010,"NISSAN MOTOR CO., LTD. "
87050,"Nissan Securities Group Co.,Ltd. "
72220,"NISSAN SHATAI CO.,LTD. "
63050,"Hitachi Construction Machinery Co., Ltd. "
62840,"NISSEI ASB MACHINE CO., LTD. "
22180,"NICHIRYO BAKING CO.,LTD. "
68660,HIOKI E.E.CORPORATION 
44630,"NICCA CHEMICAL CO.,LTD. "
61570,"NS TOOL CO.,LTD. "
99130,NIPPO LTD. 
23270,NS Solutions Corporation 
15150,"Nittetsu Mining CO.,Ltd. "
52680,"ASAHI CONCRETE WORKS CO.,LTD. "
61400,"Asahi Diamond Industrial Co.,Ltd. "
79280,"ASAHI KAGAKU KOGYO CO.,LTD "
34070,Asahi Kasei Corporation 
97990,"ASAHI INTELLIGENCE SERVICE CO.,LTD. "
42160,ASAHI YUKIZAI CORPORATION 
29110,"ASAHIMATSU FOODS CO.,LTD. "
61110,"ASAHI-SEIKI MANUFACTURING CO.,LTD. "
88690,Meiwa Estate Company Limited 
81030,Meiwa Corporation 
19760,"MEISEI INDUSTRIAL Co.,Ltd. "
22690,"Meiji Holdings Co., Ltd. "
63340,"Meiji Machine Co.,Ltd. "
33880,"MEIJI ELECTRIC INDUSTRIES CO., LTD. "
91150,"MEIJI SHIPPING GROUP CO.,LTD. "
17170,Meiho Facility Works Ltd. 
67480,"SEIWA ELECTRIC MFG. CO., LTD. "
39540,SHOWA PAXXS CORPORATION 
49900,"Showa Chemical Industry Co.,Ltd. "
20040,"Showa Sangyo Co., Ltd. "
59530,"Showa Manufacturing Co.,Ltd. "
35370,"SHOEI YAKUHIN CO.,LTD. "
19970,"AKATSUKI EAZIMA CO., LTD. "
72380,"AKEBONO BRAKE INDUSTRY CO.,LTD. "
63320,"TSUKISHIMA HOLDINGS CO., LTD. "
45310,"YUKI GOSEI KOGYO CO.,LTD. "
77470,"ASAHI INTECC CO.,LTD. "
39510,"ASAHI PRINTING CO.,LTD. "
94050,ASAHI BROADCASTING GROUP HOLDINGS CORPORATION 
27000,"KITOKU SHINRYO CO., LTD. "
63780,"KIMURA CHEMICAL PLANTS CO., LTD. "
62310,"KIMURA KOHKI Co.,Ltd. "
79310,"MIRAI INDUSTRY CO.,LTD. "
72670,"HONDA MOTOR CO., LTD. "
99320,"SUGIMOTO & CO.,LTD. "
45690,"KYORIN Pharmaceutical Co., Ltd. "
40420,TOSOH CORPORATION 
99600,TOTECH CORPORATION 
59750,Topre Corporation 
79710,TOLI Corporation 
34020,"TORAY INDUSTRIES,INC. "
68480,DKK-TOA CORPORATION 
18850,TOA CORPORATION 
18820,TOA ROAD CORPORATION 
40450,"TOAGOSEI CO., LTD. "
46350,"TOKYO PRINTING INK MFG. CO., LTD. "
27600,TOKYO ELECTRON DEVICE LIMITED 
80350,Tokyo Electron Limited 
67720,"Tokyo Cosmoc Electric Co., Ltd. "
84390,Tokyo Century Corporation 
96330,"Tokyo Theatres Company, Incorporated "
78150,"Tokyo Board Industries co.,ltd. "
72350,"TOKYO RADIATOR MFG. CO., LTD. "
90230,"Tokyo Metro Co.,Ltd. "
88040,"Tokyo Tatemono Co., Ltd. "
41860,"TOKYO OHKA KOGYO CO., LTD. "
91930,"Tokyo Kisen Co.,Ltd. "
87660,"Tokio Marine Holdings, Inc. "
95310,"TOKYO GAS CO.,LTD. "
80700,"TOKYO SANGYO CO.,LTD. "
53630,TYK CORPORATION 
59810,"TOKYO ROPE MFG. CO., LTD. "
54230,"TOKYO STEEL MANUFACTURING CO., LTD. "
77210,TOKYO KEIKI INC. 
96720,"TOKYOTOKEIBA CO.,LTD. "
54450,"TOKYO TEKKO CO., LTD. "
95010,"Tokyo Electric Power Company Holdings, Incorporated "
7139,?????? 
74460,"TOHOKU CHEMICAL CO., LTD. "
54840,"Tohoku Steel Co.,Ltd. "
95060,"Tohoku Electric Power Company,Incorporated "
33290,"TOWA FOOD SERVICE CO.,LTD. "
45530,"TOWA PHARMACEUTICAL CO.,LTD. "
96020,"TOHO CO., LTD. "
17660,TOKEN CORPORATION 
32890,Tokyu Fudosan Holdings Corporation 
17200,"TOKYU CONSTRUCTION CO.,LTD. "
90050,TOKYU CORPORATION 
90200,East Japan Railway Company 
48160,"TOEI ANIMATION CO.,LTD. "
96050,"TOEI COMPANY,LTD. "
90010,"TOBU RAILWAY CO.,LTD. "
63300,TOYO ENGINEERING CORPORATION 
59360,"TOYO SHUTTER CO.,LTD. "
96860,"toyo tec co ., ltd "
49760,"TOYO DRILUBE CO.,LTD "
49700,"toyo gosei co.,ltd. "
93510,"TOYO WHARF & WAREHOUSE CO.,LTD. "
28750,"TOYO SUISAN KAISHA, LTD. "
53100,"TOYO TANSO CO.,LTD. "
31010,"TOYOBO CO.,LTD. "
59010,"Toyo Seikan Group Holdings, Ltd. "
86140,"TOYO SECURITIES CO., LTD. "
66550,TOYO ELECTRIC CORPORATION 
65050,"TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.) "
80710,"TOKAI ELECTRONICS CO.,LTD. "
53010,"TOKAI CARBON CO., LTD. "
44300,"TOKAI SOFT CO.,LTD. "
97610,"TOKAI LEASE CO.,LTD. "
90220,Central Japan Railway Company 
86160,"Tokai Tokyo Financial Holdings, Inc. "
35770,Tokai Senko K.K. 
91730,"Tokai Kisen Co., Ltd. "
93800,"Azuma Shipping Co.,Ltd. "
65880,TOSHIBA TEC CORPORATION 
40930,"toho acetylene co.,ltd. "
81290,"TOHO HOLDINGS CO.,LTD. "
74220,"TOHO LAMAC CO., LTD. "
57070,"Toho Zinc Co.,Ltd. "
44090,"TOHO CHEMICAL INDUSTRY COMPANY,LIMITED "
95330,"TOHO GAS CO.,LTD. "
90360,"TOHBU NETWORK CO.,LTD. "
18350,"TOTETSU KOGYO CO.,LTD. "
93060,"Toyo Logistics Co.,Ltd. "
18100,"MATSUI CONSTRUCTION CO., LTD. "
86280,"MATSUI SECURITIES CO.,LTD. "
69690,"MATSUO ELECTRIC CO.,LTD. "
43650,"MATSUMOTO YUSHI-SEIYAKU CO.,LTD. "
74560,"MATSUDA SANGYO Co.,Ltd. "
96010,Shochiku Co;Ltd. 
22860,"Hayashikane Sangyo Co., Ltd. "
45490,"EIKEN CHEMICAL CO.,LTD. "
91710,"kuribayashi steamship co.,ltd. "
63700,Kurita Water Industries Ltd. 
374A,??????? 
5893,RAVIPA 
375A,YAK Holdings 
326A,aero lab international 
9222,manaby 
525A,manebi 
27530,"AMIYAKI TEI CO.,LDT. "
83080,"Resona Holdings, Inc. "
59980,Advanex inc. 
67280,"ULVAC,Inc. "
17360,OTEC CORPORATION 
26660,"AUTOWAVE Co.,Ltd. "
81180,"KING CO.,Ltd. "
63260,KUBOTA CORPORATION 
59090,CORONA CORPORATION 
76160,"COLOWIDE CO.,LTD. "
23760,SCINEX CORPORATION 
13770,SAKATA SEED CORPORATION 
98850,"CHARLE CO.,LTD. "
66740,GS Yuasa Corporation 
98160,Striders Corporation 
99760,"SEKICHU CO.,LTD. "
98780,"SEKIDO CO.,LTD "
42840,"SOLXYZ Co.,Ltd. "
43690,Tri Chemical Laboratories Inc. 
75060,"HOUSE OF ROSE Co.,Ltd. "
75140,"HIMARAYA Co.,Ltd. "
13840,"Hokuryo Co., Ltd. "
29190,"marutai co.,ltd "
99620,MISUMI Group Inc. 
43500,"MEDICAL SYSTEM NETWORK Co., Ltd. "
17800,YAMAURA CORPORATION 
63920,YAMADA CORPORATION 
53570,"YOTAI REFRACTORIES CO.,LTD. "
47140,RISO KYOIKU GROUP CORPORATION. 
59410,"NAKANISHI MFG.CO.,LTD. "
82520,"MARUI GROUP CO.,LTD. "
85440,"The Keiyo Bank, Ltd. "
85510,"The Kita-Nippon Bank,Ltd. "
85220,"The Bank of Nagoya, Ltd. "
91040,"Mitsui O.S.K. Lines, Ltd. "
83610,"The Ogaki Kyoritsu Bank, Ltd. "
47680,OTSUKA CORPORATION 
85600,"The Miyazaki Taiyo Bank,Ltd. "
71840,"THE FIRST BANK OF TOYAMA, LTD. "
83650,"The Bank of Toyama,Ltd. "
74260,Yamadai Corporation 
83600,"The Yamanashi Chuo Bank,Ltd. "
77010,Shimadzu Corporation 
19210,TOMOE CORPORATION 
82760,"HEIWADO CO.,LTD. "
85410,"The Ehime Bank, Ltd. "
64690,"HODEN SEIMITSU KAKO KENKYUSHO CO.,LTD. "
76000,"Japan Medical Dynamic Marketing, INC. "
47520,SHOWA SYSTEM ENGINEERING CORPORATION 
81600,"KISOJI CO., LTD. "
89200,"TOSHO CO., LTD. "
63600,"TOKYO AUTOMATIC MACHINERY WORKS, LTD "
83490,"THE TOHOKU BANK,LTD. "
85500,"THE TOCHIGI BANK, LTD. "
72550,SAKURAI LTD. 
18530,"Mori-Gumi Co., Ltd. "
99140,"uematsu shokai co.,ltd. "
23400,"GOKURAKUYU HOLDINGS CO.,LTD. "
13010,"KYOKUYO CO., LTD. "
18610,"Kumagaigumi Co.,Ltd. "
61350,"Makino Milling Machine Co.,Ltd. "
82260,RIKEI CORPORATION 
46790,"TAYA CO.,Ltd. "
83680,"The Hyakugo Bank, Ltd. "
54060,"Kobe Steel, Ltd. "
85620,"THE FUKUSHIMA BANK, LTD. "
46780,"SHUEI YOBIKO Co.,Ltd. "
29260,"SHINOZAKIYA,INC. "
68340,"SEIKOH GIKEN Co.,Ltd. "
83340,"The Gunma Bank, Ltd. "
74530,"RYOHIN KEIKAKU CO.,LTD. "
62230,"Seibu Giken Co.,Ltd. "
60220,Akasaka Diesels Ltd. 
97600,"SHINGAKUKAI HOLDINGS CO., LTD. "
79800,"SHIGEMATSU WORKS CO.,LTD. "
18080,HASEKO Corporation 
19660,TAKADA CORPORATION 
83830,"THE TOTTORIBANK,LTD. "
34220,"J-MAX Co.,Ltd. "
30690,JFLA Holdings Inc. 
97460,TKC Corporation 
73890,"Aichi Financial Group, Inc. "
83040,"Aozora Bank, Ltd. "
87370,Akatsuki Corp. 
76780,"ASAKUMA CO.,LTD. "
33330,"Asahi Co.,LTD. "
29070,"ahjikanco.,ltd "
27330,ARATA CORPORATION 
31770,"ARIGATOU SERVICES COMPANY,LIMITED "
37960,"e-Seikatsu Co.,Ltd. "
76940,itsumo.inc. 
58300,"Iyogin Holdings,Inc. "
76210,"UKAI CO.,LTD. "
39790,"ULURU.CO.,LTD. "
73500,"Okinawa Financial Group,Inc. "
66480,KAWADEN CORPORATION 
75850,KAN-NANMARU CORPORATION 
71810,"JAPAN POST INSURANCE Co. , Ltd. "
30820,"KICHIRI HOLDINGS&Co.,Ltd. "
79080,"KIMOTO CO.,LTD. "
23000,"Kyokuto Co., Ltd. "
96360,Kin-Ei Corp. 
19440,KINDEN CORPORATION 
55920,"Kusurinomadoguchi, Inc. "
43760,Kufu Company Holdings Inc. 
79970,Kurogane Kosakusho Ltd. 
24400,"Gurunavi, Inc. "
82540,"Saikaya Department Store Co.,Ltd. "
70970,"SAKURASAKU PLUS,Co.,Ltd "
47610,SAKURA KCS Corporation 
58310,"Shizuoka Financial Group, Inc. "
82270,"SHIMAMURA Co.,Ltd. "
36790,"ZIGExN Co., Ltd. "
71610,"Jimoto Holdings,Inc. "
31970,"SKYLARK HOLDINGS CO., LTD. "
39980,"SuRaLa Net Co.,Ltd. "
75100,TAKEBISHI CORPORATION 
58320,"Chugin Financial Group, Inc. "
29220,"NATORI CO., LTD. "
82300,"HASEGAWA CO., LTD. "
39300,"Hatena Co., Ltd "
9156,?? Holdings 
74160,Haruyama Holdings Inc. 
1445,??? Holdings 
76860,"HitoMile Co.,Ltd. "
27640,Hiramatsu Inc. 
73370,"Hirogin Holdings, Inc. "
83540,"Fukuoka Financial Group, Inc. "
83770,"Hokuhoku Financial Group, Inc. "
30550,"HOKUYAKU TAKEYAMA Holdings,Inc. "
35600,"Hobonichi Co.,Ltd. "
308A,?????? Holdings 
40590,"Magmag,Inc. "
26520,MANDARAKE INC. 
84110,"Mizuho Financial Group, Inc. "
386A0,"MINOYA CO.,LTD. "
65630,Mirai Works Inc. 
71670,"Mebuki Financial Group,Inc. "
62500,YAMABIKO CORPORATION 
28200,Yamami Company 
99940,YAMAYA CORPORATION 
71820,"JAPAN POST BANK Co.,Ltd. "
132A,???? Holdings 
9226,???? 
44950,"i3 Systems, Inc. "
72590,AISIN CORPORATION 
76980,Iceco Inc. 
36600,istyle Inc. 
52420,"EYEZ,INC. "
2990,????? 
63450,AICHI CORPORATION 
47430,ITFOR Inc 
94660,Aidma Marketing Communication Corporation 
73730,"Aidma Holdings, Inc. "
75390,"AINAVO HOLDINGS Co., Ltd. "
97420,INES Corporation 
93430,ibis inc. 
9334,???? Holdings 
49180,IVY COSMETICS CORPORATION 
78330,IFIS JAPAN LTD. 
38450,I-FREEK MOBILE INC. 
65350,"i-mobile Co.,Ltd. "
73250,IRRC Corporation 
39170,"iRidge,Inc. "
38540,I'LL INC 
96270,AIN HOLDINGS INC. 
60350,"IR Japan Holdings, Ltd. "
97020,ISB CORPORATION 
603A0,??/????/???????? 
73450,Ai Partners Financial Inc. 
43900,"IPS, Inc. "
37580,Aeria Inc. 
39320,Akatsuki Inc. 
40120,"AXIS CO.,LTD. "
49360,AXXZIA Inc. 
13810,"AXYZ Co., Ltd "
70420,"ACCESS GROUP HOLDINGS CO., LTD. "
67300,AXELL CORPORATION 
402A0,Axelspace Holdings Corporation 
439A,???? 
43950,Accrete Inc. 
97040,"AGORA Hospitality Group Co., Ltd. "
57240,"Asaka Riken Co.,Ltd. "
87720,"ASAX CO., LTD. "
46230,ASAHIPEN CORPORATION 
60730,ASANTE INCORPORATED 
79360,ASICS Corporation 
73780,ASIRO Inc. 
49290,"ADJUVANT HOLDINGS CO.,LTD. "
246A0,ASUA Inc. 
24380,"Asukanet Company,Limited "
65220,Asterisk Inc. 
186A0,Astroscale Holdings Inc. 
41970,"ASMARQ Co.,Ltd. "
26540,ASMO CORPORATION 
36470,"ASULINA Co.,Ltd. "
42880,"Asgent, Inc. "
160A0,"As Partners CO.,LTD. "
34960,"AZOOM CO.,LTD "
34900,"Azplanning Co.,Ltd. "
93400,"ASO INTERNATIONAL,INC. "
71340,"UP GARAGE GROUP Co., Ltd. "
164A,??????? 
42410,atect corporation 
74120,ATOM CORPORATION 
61940,"Atrae, Inc. "
24890,Adways Inc. 
66680,"ADTEC PLASMA TECHNOLOGY CO.,LTD. "
87980,"Advance Create Co.,Ltd. "
37730,"Advanced Media, Inc. "
68570,ADVANTEST CORPORATION 
87690,"Advantage Risk Management Co., Ltd. "
60300,"Adventure, Inc. "
74630,"ADVAN CO .,LTD. "
38360,AVANT GROUP CORPORATION 
69180,AVALDATA CORPORATION 
60870,"ABIST Co.,Ltd. "
41740,Appirits Inc. 
134A,????? 
37270,Aplix Corporation 
61130,"AMADA CO., LTD. "
78000,"Amifa Co., Ltd. "
43010,AMUSE INC. 
60760,"Amaze Co.,Ltd. "
75950,ARGO GRAPHICS Inc. 
67780,"Artiza Networks, Inc. "
21630,"ARTNER CO.,LTD. "
23410,"ARBEIT-TIMES CO.,LTD. "
34340,ALPHA Corporation 
47600,"ALPHA CO.,LTD. "
47190,ALPHA SYSTEMS INC. 
71150,AlphaPurchase Corporation 
94670,"AlphaPolis.Co.,Ltd. "
46410,Altech Corporation 
30280,"Alpen Co.,Ltd. "
49320,"ALMADO,INC. "
78590,ALMEDIO INC. 
2994,???? Holdings 
26850,"and ST HD Co., Ltd. "
33000,"AMBITION DX HOLDINGS Co., Ltd. "
70710,"Amvis Holdings, Inc. "
33840,"ArkCore, Inc. "
99480,"ARCS COMPANY,LIMITED "
76920,EARTH INFINITY CO.LTD. 
78230,ARTNATURE INC. 
32420,"URBANET CORPORATION CO.,LTD. "
2992,??????? 
32480,"EARLY AGE CO., Ltd. "
78370,"R.C.CORE CO.,LTD. "
29830,"Arr Planner Co.,Ltd. "
46640,JAPAN RELIANCE SERVICE CORPORATION 
58520,AHRESTY CORPORATION 
98820,YELLOW HAT LTD. 
23340,eole Inc. 
43430,"AEON Fantasy Co.,LTD. "
72730,"IKUYO CO.,LTD. "
82730,"izumico.,ltd "
168A0,itamiarts inc. 
18470,"ICHIKEN Co., Ltd. "
96190,"ICHINEN HOLDINGS CO.,LTD. "
60490,ItoKuro Inc. 
79720,ITOKI CORPORATION 
52870,"ITO YOGYO CO., LTD. "
39700,Innovation Inc. 
34840,"Innovation Holdings CO.,LTD. "
56990,"IBOKIN Co.,Ltd. "
39550,"IMURA & Co., Ltd. "
26670,"ImageONE Co.,Ltd. "
77930,IMAGE MAGIC Inc. 
36900,YRGLM Inc. 
62370,"IWAKI CO., LTD. "
21720,INSIGHT INC. 
62000,"Insource Co.,Ltd "
77250,INTER ACTION Corporation 
21220,"Interspace Co.,Ltd. "
37470,"INTERTRADE CO.,Ltd. "
37740,Internet Initiative Japan Inc. 
65450,internet infinity INC. 
40570,"Interfactory,Inc. "
262A0,INTERMESTIC INC. 
70720,"Intimate Merger, Inc. "
48470,INTELLIGENT WAVE INC. 
463A0,"INTELLEX HOLDINGS Co.,Ltd. "
43260,INTAGE HOLDINGS Inc. 
301A,?????? 
71910,Entrust Inc. 
32370,"INTRANCE CO.,LTD. "
70310,Inbound Tech Inc. 
55870,Inbound Platform Corp. 
44440,infoNet inc. 
24920,Infomart Corporation 
438A0,"Infcurion, Inc. "
48200,"EM SYSTEMS CO.,LTD. "
70360,eMnet Japan.co.ltd. 
77940,EDP Corporation 
28820,"EAT&HOLDINGS Co.,Ltd. "
60380,"IID, Inc. "
93270,"e LogiT co.,ltd. "
32410,"WILL,Co.,Ltd. "
60890,"WILL GROUP,INC. "
44820,WILLs Inc. 
5617,???/?? 
5251,???/?? 
78310,WellcoHoldings Corporation 
70870,"WILLTEC Co.,Ltd. "
35380,WILLPLUS Holdings Corporation 
48250,WEATHERNEWS INC. 
23880,"Wedge Holdings CO., LTD. "
75510,"WEDS CO., LTD. "
29010,Wel-Dish. Incorporated 
60910,Wesco Holdings Inc. 
14070,West Holdings corporation 
60590,"UCHIYAMA HOLDINGS Co.,Ltd. "
78980,"WOOD ONE CO.,LTD. "
61910,AirTrip Corp. 
95570,"airCloset,Inc. "
59890,"H-ONE CO.,LTD. "
96030,"H.I.S. Co., Ltd. "
36620,"Ateam Holdings Co., Ltd. "
39690,ATLED CORP. 
42590,ExaWizards Inc. 
362A,???? Holdings 
60330,"EXTREME CO.,LTD. "
43940,"eXmotion Co.,Ltd. "
72780,EXEDY Corporation 
158A,???? 
75200,"eco's co.,ltd "
38020,"ECOMIC CO.,LTD "
62250,Ecology and Combustion Inc. 
292A,?????? 
34230,SE Corporation 
32230,SLD Entertainment Inc. 
76080,"SK JAPAN CO., LTD. "
66770,"SK-Electronics CO.,LTD. "
88920,ES-CON JAPAN Ltd. 
61610,ESTIC CORPORATION 
32800,"STrust Co.,Ltd. "
58670,"ES NETWORKS CO., LTD. "
24710,"S-Pool,Inc. "
32600,"ESPOIR Co.,Ltd. "
65540,"SUS Co.,Ltd. "
21750,"SMS CO.,LTD "
317A,??/??/??/?????? 
31930,"Eternal Hospitality Group Co.,Ltd. "
47620,XNET Corporation 
72190,"HKS CO.,LTD. "
39350,"Edia Co.,Ltd. "
27300,EDION Corporation 
36650,Enigmo Inc. 
23490,"Nippon Information Development Co.,Ltd. "
68640,NF HOLDINGS CORPORATION 
94210,NJ Holdings Inc. 
70570,"New Constructor's Network Co.,Ltd. "
38500,NTT DATA INTRAMART CORPORATION 
62550,NPC Incorporated 
69280,"ENOMOTO CO.,LTD "
357A,??????? 
47710,"F&M CO.,LTD. "
95140,EF-ON INC. 
72120,F-TECH INC. 
79470,FP CORPORATION 
92110,f-code Inc. 
72960,"F.C.C.CO.,LTD. "
607A0,???? 
23110,"EPCO Co.,Ltd. "
36610,"mup holdings. Inc, "
39100,MKSystem Corporation 
94380,MTI Ltd. 
14010,"mbs,inc. "
94390,M H GROUP LTD. 
60990,ELAN Corporation 
89120,Area Quest Inc. 
55330,"Elitz Holdings Co.,Ltd. "
39670,"Eltes Co., Ltd. "
65600,"LTS,Inc. "
-,???????????? 
60920,"EnBio Holdings,Inc "
56980,ENVIPRO HOLDINGS Inc. 
69610,ENPLAS CORPORATION 
43880,"AI,Inc. "
93810,AIT CORPORATION 
53910,A&A Material Corporation 
377A0,Agent IG Holdings Inc. 
369A0,"A-tie Co.,Ltd. "
26700,"ABC-MART,INC. "
61560,A-ONE SEIMITSU INC. 
31750,"AP HOLDINGS CO.,LTD. "
97650,"OHBA CO.,LTD. "
79940,OKAMURA CORPORATION 
29380,"Okamura Foods Co.,Ltd. "
65210,OXIDE Corporation 
52180,OHARA INC. 
5890,????????? 
152A,???? 
92680,OPTIMUS GROUP COMPANY LIMITED 
36940,OPTiM CORPORATION 
66640,"OPTOELECTRONICS CO.,LTD. "
62350,"OPTORUN CO.,LTD. "
228A0,"Opro Co., Ltd. "
24980,Oriental Consultants Holdings Company Limited 
46610,"ORIENTAL LAND CO.,LTD. "
85850,Orient Corporation 
65130,"Origin Company, Limited "
619A0,OLIVER CORPORATION 
36720,AltPlusInc. 
39830,"ORO Co., Ltd. "
91600,"ON THE PAGE, Inc. "
73600,"ONDECK Co., Ltd. "
80160,"ONWARD HOLDINGS Co., Ltd. "
64280,OIZUMI Corporation 
76140,"OM2 Network Co.,Ltd "
39640,AUCNET INC. 
36740,"Aucfan Co.,Ltd. "
82170,"OKUWA CO., LTD. "
38080,"OKWEB, Inc. "
62290,OKUMURA ENGINEERING CORP. 
30960,OCEAN SYSTEM CORPORATION 
74340,OTAKE CORPORATION 
621A0,Audiostock Inc. 
55890,"AUTO SERVER Co.,LTD. "
98320,"AUTOBACS SEVEN CO.,LTD. "
59870,ONEX Corporation 
76280,OHASHI TECHNICA INC. 
77270,OVAL Corporation 
414A0,"OVERLAP Holdings,Inc. "
78270,ORVIS CORPORATION 
46840,"OBIC Co.,Ltd. "
47330,"OBIC BUSINESS CONSULTANTS CO.,LTD. "
55760,O.B.System Inc. 
21540,Open Up Group Inc. 
39260,Open Door Inc. 
32880,"Open House Group Co., Ltd "
24540,"All About,Inc. "
45830,Chiome Bioscience Inc. 
5581,???????? 
153A0,Caulis Inc. 
23710,"Kakaku.com,Inc. "
89190,"KATITAS Co., Ltd. "
211A0,Cados Corporation 
80810,KANADEN CORPORATION 
39390,"Kanamic Network Co.,LTD "
96780,"Kanamoto Co., Ltd. "
41180,KANEKA CORPORATION 
72080,KANEMITSU CORPORATION 
80760,CANOX CORPORATION 
96970,"CAPCOM CO., LTD. "
39040,KAYAC Inc. 
40140,"KARADANOTE,INC. "
27890,"Karula Co.,LTD. "
30450,"Kawasaki&Co.,Ltd "
62920,"KAWATA MFG. CO., LTD. "
26640,CAWACHI LIMITED 
99030,"KANSEKI CO.,LTD. "
70850,"CURVES HOLDINGS Co., Ltd. "
72970,"CAR MATE MFG.CO.,LTD "
42750,"Carlit Co.,Ltd. "
37750,Gaiax Co.Ltd. 
274A0,"Garden Co.,Ltd. "
47770,GALA INCORPORATED 
47070,KITAC CORPORATION 
248A0,KIDS STAR Inc. 
64980,KITZ CORPORATION 
50390,Kitalive Inc. 
74610,"KIMURA CO.,LTD. "
81070,KIMURATAN CORPORATION 
93310,Caster Co. Ltd. 
66950,"Castrico Co.,Ltd. "
39650,"Capital Asset Planning, Inc. "
61980,"CAREER CO.,LTD "
24100,"CAREER DESIGN CENTER CO.,LTD. "
14460,"CANDEAL Co., Ltd. "
26980,"CANDOCO.,LTD. "
45750,"CanBas Co.,Ltd. "
71120,"CUBE CO., LTD. "
23350,CUBE SYSTEM INC. 
93690,K.R.S.Corporation 
79620,"KING JIM CO.,LTD. "
68610,KEYENCE CORPORATION 
92190,GiXo Ltd. 
92790,GIFT HOLDINGS INC. 
475A0,"GIMIC Co., Ltd. "
505A0,"Geekly , Inc. "
43180,"QUICK CO.,LTD. "
23320,"Quest Co., Ltd. "
91650,"Qualtec Co.,Ltd. "
95520,"Quants Research Institute Holdings, Inc. "
35490,"KUSURI NO AOKI HOLDINGS CO., LTD. "
36070,"KURAUDIA HOLDINGS CO.,LTD. "
39000,CrowdWorks Inc. 
71100,Kurashicom Inc. 
58840,"KURADASHI.Co.,Ltd. "
19590,KRAFTIA CORPORATION 
34050,"KURARAY CO.,LTD. "
33870,create restaurants holdings inc. 
31480,"CREATE SD HOLDINGS CO.,LTD "
47050,CLIP Corporation 
47630,"CREEK & RIVER Co.,Ltd. "
40170,CREEMA LTD. 
96980,"creo co.,ltd. "
46740,CRESCO LTD. 
78120,CRESTEC Inc. 
82530,"Credit Saison Co.,Ltd. "
40230,KUREHA CORPORATION 
23070,"CROSS CAT CO.,LTD. "
78100,"Crossfor Co.,Ltd "
36750,Cross Marketing Group Inc. 
94280,CROPS CORPORATION 
34750,"Good Com Asset Co., Ltd. "
73510,Goodpatch Inc. 
95610,GLAD CUBE Inc. 
78470,GRAPHITE DESIGN INC. 
32610,"GRANDES,Inc. "
55820,GRID Inc. 
31500,"grems,Inc. "
14360,GreenEnergy & Company Inc. 
272A0,"Green Cross Holdings Co., Ltd. "
65470,"GREENS CO.,LTD. "
98500,"GOURMET KINEYA CO.,LTD. "
39360,"Globalway, Inc. "
61890,Global Kids Company Corp. 
76250,"GLOBAL-DINING,INC. "
34860,GLOBAL LINK MANAGEMENT INC. 
24250,"Care Service Co., Ltd. "
23730,CARE TWENTYONE CORPORATION 
48960,"K Pharma,Inc. "
37600,"CAVE CO.,LTD "
259A0,"K-uno, CO., LTD. "
9239,?????? 
82820,K'S HOLDINGS CORPORATION 
98560,"KU HOLDINGS CO.,LTD. "
34200,KFC Ltd 
26810,GEO HOLDINGS CORPORATION 
62490,"Gamecard Holdings, Inc. "
23590,CORE CORPORATION 
43710,Core Concept Technologies Inc. 
41760,coconala Inc. 
41670,Kokopelli Inc. 
93460,Cocorport Inc. 
21570,"KOSHIDAKA HOLDINGS Co.,LTD. "
75130,"Kojima Co.,Ltd. "
88440,"COSMOS INITIA Co., Ltd. "
33490,COSMOS Pharmaceutical Corporation 
309A,?????? 
98760,"COX CO.,LTD. "
74940,"KONAKA CO.,LTD. "
76890,Copa Corpotation Inc. 
70590,"COPRO-HOLDINGS. Co., Ltd. "
44960,Commerce One Holdings Inc. 
35430,"KOMEDA Holdings Co., Ltd "
82180,"KOMERI CO.,LTD. "
27800,"Komehyo Holdings Co.,Ltd. "
22240,"COMO CO.,LTD. "
405A,???/???? 
39080,Collabos Corporation 
77920,"Colan Totte.Co.,Ltd. "
65780,CORREC HOLDINGS Inc. 
36680,"COLOPL,Inc. "
98950,CONSEC CORPORATION 
73740,Interworks Confidence Inc. 
65740,Convano Inc. 
36350,"KOEI TECMO HOLDINGS CO., LTD. "
32460,"KOSE R.E. Co.,Ltd. "
49220,KOSE Holdings Corporation 
93390,"COACH A Co.,Ltd. "
30320,"GOLF DO CO.,LTD. "
81110,GOLDWIN INC. 
88710,"GOLDCREST Co.,Ltd. "
44120,"Science Arts, Inc. "
75810,"saizeriya co.,ltd. "
47510,"CyberAgent,Inc. "
44930,"Cyber Security Cloud , Inc. "
36830,"CYBERLINKS CO.,LTD. "
70690,"CyberBuzz,Inc. "
48920,Cyfuse Biomedical K.K. 
42560,"CYND Co.,Ltd. "
94460,"SAKAI Holdings CO.,LTD "
90390,"Sakai Moving Service Co.,Ltd. "
99000,Sagami Holdings Corporation 
92560,"Succeed co.,ltd. "
99900,SAC'S BAR HOLDINGS INC. 
3450,????? 
62870,SATO CORPORATION 
99960,"Satoh&Co.,Ltd. "
